# time step,ucb true rewards,random true rewards
584.0,0.856100,0.735900
585.0,0.854700,0.734600
586.0,0.853200,0.733300
587.0,0.851800,0.732100
588.0,0.850300,0.730900
589.0,0.848900,0.729600
590.0,0.847500,0.728400
591.0,0.846000,0.727100
592.0,0.844600,0.725900
593.0,0.843200,0.724700
594.0,0.841800,0.723500
595.0,0.840300,0.722300
596.0,0.838900,0.721000
597.0,0.837500,0.719800
598.0,0.836100,0.718600
599.0,0.834700,0.717400
600.0,0.833300,0.716200
601.0,0.831900,0.715000
602.0,0.830600,0.713900
603.0,0.829200,0.712700
604.0,0.827800,0.711500
605.0,0.826400,0.710300
606.0,0.825100,0.709100
607.0,0.823700,0.708000
608.0,0.822400,0.706800
609.0,0.821000,0.705600
610.0,0.819700,0.704500
611.0,0.818300,0.703300
612.0,0.817000,0.702200
613.0,0.815700,0.701000
614.0,0.814300,0.699900
615.0,0.813000,0.698800
616.0,0.811700,0.697600
617.0,0.810400,0.696500
618.0,0.809100,0.695400
619.0,0.807800,0.694200
620.0,0.806500,0.693100
621.0,0.805200,0.692000
622.0,0.803900,0.690900
623.0,0.802600,0.689800
624.0,0.801300,0.688700
625.0,0.800000,0.687600
626.0,0.798700,0.686500
627.0,0.797400,0.685400
628.0,0.796200,0.684300
629.0,0.794900,0.683200
630.0,0.793700,0.682100
631.0,0.792400,0.681000
632.0,0.791100,0.680000
633.0,0.789900,0.678900
634.0,0.788600,0.677800
635.0,0.787400,0.676800
636.0,0.786200,0.675700
637.0,0.784900,0.674600
638.0,0.783700,0.673600
639.0,0.782500,0.672500
640.0,0.781200,0.671500
641.0,0.780000,0.670400
642.0,0.778800,0.669400
643.0,0.777600,0.668300
644.0,0.776400,0.667300
645.0,0.775200,0.666300
646.0,0.774000,0.665200
647.0,0.772800,0.664200
648.0,0.771600,0.663200
649.0,0.770400,0.662200
650.0,0.769200,0.661100
651.0,0.768000,0.660100
652.0,0.766900,0.659100
653.0,0.765700,0.658100
654.0,0.764500,0.657100
655.0,0.763400,0.656100
656.0,0.762200,0.655100
657.0,0.761000,0.654100
658.0,0.759900,0.653100
659.0,0.758700,0.652100
660.0,0.757600,0.651100
661.0,0.756400,0.650100
662.0,0.755300,0.649200
663.0,0.754100,0.648200
664.0,0.753000,0.647200
665.0,0.751900,0.646200
666.0,0.750800,0.645300
667.0,0.749600,0.644300
668.0,0.748500,0.643300
669.0,0.747400,0.642400
670.0,0.746300,0.641400
671.0,0.745200,0.640400
672.0,0.744000,0.639500
673.0,0.742900,0.638500
674.0,0.741800,0.637600
675.0,0.740700,0.636700
676.0,0.739600,0.635700
677.0,0.738600,0.634800
678.0,0.737500,0.633800
679.0,0.736400,0.632900
680.0,0.735300,0.632000
681.0,0.734200,0.631000
682.0,0.733100,0.630100
683.0,0.732100,0.629200
684.0,0.731000,0.628300
685.0,0.729900,0.627400
686.0,0.728900,0.626400
687.0,0.727800,0.625500
688.0,0.726700,0.624600
689.0,0.725700,0.623700
690.0,0.724600,0.622800
691.0,0.723600,0.621900
692.0,0.722500,0.621000
693.0,0.721500,0.620100
694.0,0.720500,0.619200
695.0,0.719400,0.618300
696.0,0.718400,0.617400
697.0,0.717400,0.616600
698.0,0.716300,0.615700
699.0,0.715300,0.614800
700.0,0.714300,0.613900
701.0,0.713300,0.613000
702.0,0.712300,0.612200
703.0,0.711200,0.611300
704.0,0.710200,0.610400
705.0,0.709200,0.609600
706.0,0.708200,0.608700
707.0,0.707200,0.607800
708.0,0.706200,0.607000
709.0,0.705200,0.606100
710.0,0.704200,0.605300
711.0,0.703200,0.604400
712.0,0.702200,0.603600
713.0,0.701300,0.602700
714.0,0.700300,0.601900
715.0,0.699300,0.601000
716.0,0.698300,0.600200
717.0,0.697400,0.599400
718.0,0.696400,0.598500
719.0,0.695400,0.597700
720.0,0.694400,0.596900
721.0,0.693500,0.596000
722.0,0.692500,0.595200
723.0,0.691600,0.594400
724.0,0.690600,0.593600
725.0,0.689700,0.592700
726.0,0.688700,0.591900
727.0,0.687800,0.591100
