# time step,reward random diff model 3
1190.0,-0.005400
1191.0,-0.005400
1192.0,-0.005400
1193.0,-0.005400
1194.0,-0.005400
1195.0,-0.005400
1196.0,-0.005400
1197.0,-0.005400
1198.0,-0.005400
1199.0,-0.005400
1200.0,-0.005400
1201.0,-0.005400
1202.0,-0.005400
1203.0,-0.005400
1204.0,-0.005300
1205.0,-0.005300
1206.0,-0.005300
1207.0,-0.005300
1208.0,-0.005300
1209.0,-0.005300
1210.0,-0.005300
1211.0,-0.005300
1212.0,-0.005300
1213.0,-0.005300
1214.0,-0.005300
1215.0,-0.005300
1216.0,-0.005300
1217.0,-0.005300
1218.0,-0.005300
1219.0,-0.005300
1220.0,-0.005300
1221.0,-0.005300
1222.0,-0.005300
1223.0,-0.005300
1224.0,-0.005300
1225.0,-0.005300
1226.0,-0.005300
1227.0,-0.005300
1228.0,-0.005200
1229.0,-0.005200
1230.0,-0.005200
1231.0,-0.005200
1232.0,-0.005200
1233.0,-0.005200
1234.0,-0.005200
1235.0,-0.005200
1236.0,-0.005200
1237.0,-0.005200
1238.0,-0.005200
1239.0,-0.005200
1240.0,-0.005200
1241.0,-0.005200
1242.0,-0.005200
1243.0,-0.005200
1244.0,-0.005200
1245.0,-0.005200
1246.0,-0.005200
1247.0,-0.005200
1248.0,-0.005200
1249.0,-0.005200
1250.0,-0.005200
1251.0,-0.005200
1252.0,-0.005100
1253.0,-0.005100
1254.0,-0.005100
1255.0,-0.005100
1256.0,-0.005100
1257.0,-0.005100
1258.0,-0.005100
1259.0,-0.005100
1260.0,-0.005100
1261.0,-0.005100
1262.0,-0.005100
1263.0,-0.005100
1264.0,-0.005100
1265.0,-0.005100
1266.0,-0.005100
1267.0,-0.005100
1268.0,-0.005100
1269.0,-0.005100
1270.0,-0.005100
1271.0,-0.005100
1272.0,-0.005100
1273.0,-0.005100
1274.0,-0.005100
1275.0,-0.005100
1276.0,-0.005100
1277.0,-0.005100
1278.0,-0.005000
1279.0,-0.005000
1280.0,-0.005000
1281.0,-0.005000
1282.0,-0.005000
1283.0,-0.005000
1284.0,-0.005000
1285.0,-0.005000
1286.0,-0.005000
1287.0,-0.005000
1288.0,-0.005000
1289.0,-0.005000
1290.0,-0.005000
1291.0,-0.005000
1292.0,-0.005000
1293.0,-0.005000
1294.0,-0.005000
1295.0,-0.005000
1296.0,-0.005000
1297.0,-0.005000
1298.0,-0.005000
1299.0,-0.005000
1300.0,-0.005000
1301.0,-0.005000
1302.0,-0.005000
1303.0,-0.005000
1304.0,-0.005000
1305.0,-0.004900
1306.0,-0.004900
1307.0,-0.004900
1308.0,-0.004900
1309.0,-0.004900
1310.0,-0.004900
1311.0,-0.004900
1312.0,-0.004900
1313.0,-0.004900
